LONGITUD_MAN,LATITUD_MAN,ESTRATO_P,PATRIMONIO,Urbanizaci,MANCHA_URB,PISO_R,Mixto,NP_USO,Residencial,Apartamento,Casa,NP_VIV,Concreto,Madera,Mamposteria,NP_PARED,Prefabricado,Baldosa,Cemento,Marmol/parque/madera pulida,NP_PISO,Tierra
-74.7684063,10.93199147,2.0,0,0,1990,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7645175,10.91641267,1.5,1,0,1985,1.5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7936927,10.90365076,1.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7776706,10.93118516,2.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7887539,10.93085133,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7963305,10.92708754,1.0,0,0,2000,1.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
-74.8069812,10.89907277,1.0,0,0,2010,2.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.811256,10.92212647,1.5,0,0,2000,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7799422,10.91086784,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7959983,10.90548233,1.0,0,0,2010,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7864056,10.90416136,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7716939,10.92429337,1.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.807053,10.91701966,2.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7864056,10.90416136,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8084882,10.88904388,1.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7661305,10.91033229,1.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
-74.7728785,10.91445927,1.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7826841,10.90549507,1.5,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7700716,10.91287113,1.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.807899,10.91613801,1.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
